Recom1,Recom2,Recom3,Recom4,Recom5
38.9,1.7,Sem Foto,,
2.5,2.5,2.6,4.5,3.1
1.7,4.2,Sem Foto,,
30.2,26.8,25.9,,
16.4,17.5,9.9,,
1.7,4.2,Sem Foto,,
8.1,2.5,1.7,,
28.9,27.1,27.1,35.9,30.9
8.9,8.9,2.5,2.5,2.5
11.9,11.9,10.3,,
38.9,1.7,Sem Foto,,
27.9,34.1,25.9,37.9,28.4
6.4,10.9,2.5,25.9,
2.5,11.9,1.6,2.6,4.5
27.7,28.1,26.4,8.9,21.5
6.4,17.9,8.3,1.8,1.8
27.9,25.9,27.1,17.8,
3.7,3.5,5.9,,
15.5,15.5,3.9,,
13.9,14.5,24.9,2.6,
1.7,4.2,Sem Foto,,
2.5,2.5,2.5,9.9,
1.7,Sem Foto,3.1,,
3.7,3.5,5.9,,
1.6,1.9,17.9,,
15.29,12.9,3.0,3.0,
13.5,14.9,1.6,13.5,12.9
6.3,1.8,1.8,1.8,
27.7,11.9,3.0,3.0,3.0
28.1,27.1,35.9,,
28.7,25.9,26.9,15.5,
1.7,4.2,Sem Foto,,
30.2,29.2,13.5,26.8,
1.7,4.2,Sem Foto,,
2.5,2.5,2.5,2.5,
2.5,2.5,1.9,,
14.0,15.9,16.5,,
3.7,3.5,5.9,,
1.7,4.2,Sem Foto,,
27.1,27.1,35.9,30.9,
8.9,3.0,3.0,,
6.6,6.4,9.0,1.9,
28.1,27.1,35.9,1.9,
27.1,35.9,30.9,,
13.5,13.5,13.5,12.5,
1.7,4.2,Sem Foto,,
3.7,3.5,5.9,,
3.7,3.5,5.9,,
1.7,Sem Foto,3.1,,
6.6,12.9,13.5,,
2.5,2.5,2.5,,
14.5,1.7,4.2,Sem Foto,
5.3,1.5,8.2,8.2,
1.8,1.8,1.8,1.8,
36.9,27.3,1.6,1.5,1.7
28.1,27.1,27.1,30.9,35.9
15.5,13.5,3.5,5.9,
3.7,1.7,Sem Foto,3.1,
24.9,2.5,2.5,,
46.5,5.3,1.5,8.2,8.2
14.9,1.4,1.5,18.9,5.7
26.9,14.9,13.5,1.9,
3.0,3.0,8.7,8.7,5.3
28.1,2.1,27.1,5.7,27.1
8.9,8.9,15.5,2.5,
3.9,1.7,4.2,Sem Foto,
1.7,4.2,Sem Foto,,
39.4,27.3,39.4,1.7,
